Joueur	Année	Pays	Poste	Position	Taille	Poids	IMC
Jones D.	2007	Pays de Galles	1ère ligne	Avant	182	111	33.510
Jenkins	2007	Pays de Galles	1ère ligne	Avant	188	118	33.386
Rees	2007	Pays de Galles	1ère ligne	Avant	183	106	31.652
Charvis	2007	Pays de Galles	3e ligne	Avant	190	114	31.579
Popham	2007	Pays de Galles	3e ligne	Avant	188	110	31.123
Thomas R.	2007	Pays de Galles	1ère ligne	Avant	183	104	31.055
Jones Al.	2007	Pays de Galles	2e ligne	Avant	195	118	31.032
James W.	2007	Pays de Galles	2e ligne	Avant	199	122	30.807
Gough	2007	Pays de Galles	2e ligne	Avant	198	120	30.609
Parker	2007	Pays de Galles	Centre	Arrière	185	103	30.095
Owen	2007	Pays de Galles	3e ligne	Avant	196	115	29.935
Bennett	2007	Pays de Galles	1ère ligne	Avant	183	100	29.861
Williams M.	2007	Pays de Galles	3e ligne	Avant	185	101	29.511
Thomas G.	2007	Pays de Galles	Ailier	Arrière	188	103	29.142
Cooper	2007	Pays de Galles	Demi	Arrière	171	85	29.069
Thomas J.	2007	Pays de Galles	2e ligne	Avant	196	110	28.634
Phillips	2007	Pays de Galles	Demi	Arrière	191	104	28.508
Williams S.	2007	Pays de Galles	Ailier	Arrière	171	82	28.043
Shanklin	2007	Pays de Galles	Centre	Arrière	188	99	28.010
Jones	2007	Pays de Galles	Demi	Arrière	185	94	27.465
Sweeney	2007	Pays de Galles	Demi	Arrière	178	87	27.459
Robinson	2007	Pays de Galles	Ailier	Arrière	188	95	26.879
Hook	2007	Pays de Galles	Demi	Arrière	183	90	26.874
Morgan	2007	Pays de Galles	Arrière	Arrière	178	84	26.512
Peel	2007	Pays de Galles	Demi	Arrière	180	85	26.235
Evans	2007	Pays de Galles	2e ligne	Avant	203	108	26.208
Jones M.	2007	Pays de Galles	Ailier	Arrière	190	91	25.208
James D.	2007	Pays de Galles	Ailier	Arrière	191	91	24.944
Bennett	2011	Pays de Galles	1ère ligne	Avant	182	105	31.699
Bevington	2011	Pays de Galles	1ère ligne	Avant	182	109	32.907
Byrne	2011	Pays de Galles	Arrière	Arrière	189	96	26.875
Charteris	2011	Pays de Galles	2e ligne	Avant	204	129	30.998
Davies B.	2011	Pays de Galles	2e ligne	Avant	197	115	29.632
Faletau	2011	Pays de Galles	3e ligne	Avant	187	108	30.884
Halfpenny	2011	Pays de Galles	Ailier	Arrière	175	82	26.776
James	2011	Pays de Galles	1ère ligne	Avant	185	115	33.601
Knoyle	2011	Pays de Galles	Demi	Arrière	185	94	27.465
Lydiate	2011	Pays de Galles	3e ligne	Avant	192	113	30.653
North	2011	Pays de Galles	Ailier	Arrière	190	96	26.593
Owens	2011	Pays de Galles	1ère ligne	Avant	186	109	31.507
Priestland	2011	Pays de Galles	Demi	Arrière	185	95	27.757
Warburton	2011	Pays de Galles	3e ligne	Avant	187	99	28.311
Williams L.	2011	Pays de Galles	Demi	Arrière	182	86	25.963
Williams Sc.	2011	Pays de Galles	Centre	Arrière	185	99	28.926
Williams Sh.	2011	Pays de Galles	Ailier	Arrière	170	79	27.336
Brew	2011	Pays de Galles	Ailier	Arrière	185	100	29.218
Burns	2011	Pays de Galles	1ère ligne	Avant	182	106	32.001
Davies J.	2011	Pays de Galles	Centre	Arrière	185	103	30.095
Hook	2011	Pays de Galles	Demi	Arrière	182	92	27.774
Jones R.	2011	Pays de Galles	3e ligne	Avant	194	114	30.290
Jones S.	2011	Pays de Galles	Demi	Arrière	185	94	27.465
Mitchell	2011	Pays de Galles	1ère ligne	Avant	182	118	35.624
Phillips	2011	Pays de Galles	Demi	Arrière	189	100	27.995
Powell	2011	Pays de Galles	3e ligne	Avant	192	114	30.924
Roberts	2011	Pays de Galles	Centre	Arrière	192	105	28.483
Jones Al.	2011	Pays de Galles	2e ligne	Avant	194	118	31.353
Jenkins	2011	Pays de Galles	1ère ligne	Avant	186	118	34.108
Jones Ad.	2011	Pays de Galles	1ère ligne	Avant	182	125	37.737
Atonio	2015	France	1ère ligne	Avant	197	145	37.362
Ben Arous	2015	France	1ère ligne	Avant	184	109	32.195
Chouly	2015	France	3e ligne	Avant	192	109	29.568
Debaty	2015	France	1ère ligne	Avant	190	125	34.626
Dusautoir	2015	France	3e ligne	Avant	188	103	29.142
Flanquart	2015	France	2e ligne	Avant	204	120	28.835
Guirado	2015	France	1ère ligne	Avant	180	109	33.642
Kayser	2015	France	1ère ligne	Avant	183	108	32.249
Le Roux	2015	France	3e ligne	Avant	196	113	29.415
Maestri	2015	France	2e ligne	Avant	201	119	29.455
Mas	2015	France	1ère ligne	Avant	180	108	33.333
Nyanga	2015	France	3e ligne	Avant	188	103	29.142
Ouedraogo	2015	France	3e ligne	Avant	191	100	27.412
Pape	2015	France	2e ligne	Avant	195	118	31.032
Picamoles	2015	France	3e ligne	Avant	192	118	32.010
Slimani	2015	France	1ère ligne	Avant	178	112	35.349
Szarzewski	2015	France	1ère ligne	Avant	181	101	30.829
Bastareaud	2015	France	Centre	Arrière	183	125	37.326
Dulin	2015	France	Arrière	Arrière	176	82	26.472
Dumoulin	2015	France	Centre	Arrière	189	98	27.435
Fickou	2015	France	Centre	Arrière	190	99	27.424
Fofana	2015	France	Centre	Arrière	182	93	28.076
Guitoune	2015	France	Ailier	Arrière	184	94	27.765
Huget	2015	France	Ailier	Arrière	187	96	27.453
Kockott	2015	France	Demi	Arrière	180	89	27.469
Michalak	2015	France	Demi	Arrière	180	87	26.852
Nakaitaci	2015	France	Ailier	Arrière	190	97	26.870
Parra	2015	France	Demi	Arrière	180	83	25.617
Spedding	2015	France	Arrière	Arrière	186	100	28.905
Tales	2015	France	Demi	Arrière	186	93	26.882
Tillous-Borde	2015	France	Demi	Arrière	176	87	28.086
Aguero	2015	Italie	1ère ligne	Avant	184	106	31.309
Bergamasco	2015	Italie	3e ligne	Avant	185	104	30.387
Bernabo	2015	Italie	2e ligne	Avant	198	110	28.058
Castrogiovanni	2015	Italie	1ère ligne	Avant	188	117	33.103
Chistolini	2015	Italie	1ère ligne	Avant	180	109	33.642
Cittadini	2015	Italie	1ère ligne	Avant	190	120	33.241
Furno	2015	Italie	2e ligne	Avant	200	108	27.000
Fuser	2015	Italie	2e ligne	Avant	198	124	31.629
Geldenhuys	2015	Italie	2e ligne	Avant	203	118	28.635
Ghiraldini	2015	Italie	1ère ligne	Avant	184	103	30.423
Giazzon	2015	Italie	1ère ligne	Avant	180	106	32.716
Manici	2015	Italie	1ère ligne	Avant	183	103	30.756
Minto	2015	Italie	3e ligne	Avant	193	107	28.726
Parisse	2015	Italie	3e ligne	Avant	196	112	29.155
Rizzo	2015	Italie	1ère ligne	Avant	188	110	31.123
Vunisa	2015	Italie	3e ligne	Avant	189	117	32.754
Zanni	2015	Italie	3e ligne	Avant	188	107	30.274
Allan	2015	Italie	Demi	Arrière	184	87	25.697
Benvenuti	2015	Italie	Centre	Arrière	187	100	28.597
Campagnaro	2015	Italie	Centre	Arrière	184	91	26.879
Canna	2015	Italie	Demi	Arrière	185	90	26.297
Esposito	2015	Italie	Ailier	Arrière	187	94	26.881
Garcia	2015	Italie	Centre	Arrière	185	96	28.050
Gori	2015	Italie	Demi	Arrière	180	86	26.543
Masi	2015	Italie	Arrière	Arrière	183	99	29.562
McLean	2015	Italie	Arrière	Arrière	190	98	27.147
Morisi	2015	Italie	Centre	Arrière	183	99	29.562
Palazzani	2015	Italie	Demi	Arrière	173	83	27.732
Sarto	2015	Italie	Ailier	Arrière	192	93	25.228
Venditti	2015	Italie	Ailier	Arrière	187	110	31.456
Violi	2015	Italie	Demi	Arrière	176	83	26.795
Brookes	2015	Angleterre	1ère ligne	Avant	186	122	35.264
Cole	2015	Angleterre	1ère ligne	Avant	189	118	33.034
George	2015	Angleterre	1ère ligne	Avant	183	109	32.548
Haskell	2015	Angleterre	3e ligne	Avant	193	114	30.605
Kruis	2015	Angleterre	2e ligne	Avant	198	112	28.569
Launchbury	2015	Angleterre	2e ligne	Avant	198	115	29.334
Lawes	2015	Angleterre	2e ligne	Avant	201	115	28.465
Marler	2015	Angleterre	1ère ligne	Avant	183	113	33.742
Morgan	2015	Angleterre	3e ligne	Avant	190	116	32.133
Parling	2015	Angleterre	2e ligne	Avant	198	114	29.079
Robshaw	2015	Angleterre	3e ligne	Avant	188	110	31.123
Vunipola B.	2015	Angleterre	3e ligne	Avant	188	126	35.650
Vunipola M.	2015	Angleterre	1ère ligne	Avant	182	118	35.624
Webber	2015	Angleterre	1ère ligne	Avant	183	110	32.847
Wilson	2015	Angleterre	1ère ligne	Avant	188	122	34.518
Wood	2015	Angleterre	3e ligne	Avant	193	108	28.994
Youngs T.	2015	Angleterre	1ère ligne	Avant	175	102	33.306
Barritt	2015	Angleterre	Centre	Arrière	185	95	27.757
Brown	2015	Angleterre	Arrière	Arrière	183	92	27.472
Burgess	2015	Angleterre	Centre	Arrière	193	116	31.142
Care	2015	Angleterre	Demi	Arrière	175	85	27.755
Farrell	2015	Angleterre	Demi	Arrière	188	90	25.464
Ford	2015	Angleterre	Demi	Arrière	175	80	26.122
Goode	2015	Angleterre	Arrière	Arrière	180	91	28.086
Joseph	2015	Angleterre	Centre	Arrière	193	93	24.967
May	2015	Angleterre	Ailier	Arrière	189	90	25.195
Nowell	2015	Angleterre	Ailier	Arrière	180	89	27.469
Slade	2015	Angleterre	Centre	Arrière	190	90	24.931
Watson	2015	Angleterre	Ailier	Arrière	188	90	25.464
Wigglesworth	2015	Angleterre	Arrière	Arrière	176	86	27.763
Youngs B.	2015	Angleterre	Arrière	Arrière	178	87	27.459
Brown	2015	Ecosse	1ère ligne	Avant	183	103	30.756
Denton	2015	Ecosse	3e ligne	Avant	196	114	29.675
Dickinson	2015	Ecosse	1ère ligne	Avant	185	111	32.432
Ford	2015	Ecosse	1ère ligne	Avant	186	115	33.241
Gilchrist	2015	Ecosse	2e ligne	Avant	202	120	29.409
Grant	2015	Ecosse	1ère ligne	Avant	183	111	33.145
Gray J.	2015	Ecosse	2e ligne	Avant	198	119	30.354
Gray R.	2015	Ecosse	2e ligne	Avant	207	126	29.406
Hardie	2015	Ecosse	3e ligne	Avant	183	102	30.458
McInally	2015	Ecosse	1ère ligne	Avant	190	105	29.086
Nel	2015	Ecosse	1ère ligne	Avant	182	120	36.228
Reid	2015	Ecosse	1ère ligne	Avant	188	120	33.952
Strauss	2015	Ecosse	3e ligne	Avant	193	114	30.605
Strokosch	2015	Ecosse	3e ligne	Avant	191	109	29.879
Welsh	2015	Ecosse	1ère ligne	Avant	185	111	32.432
Wilson	2015	Ecosse	3e ligne	Avant	191	105	28.782
Swinson	2015	Ecosse	2e ligne	Avant	193	116	31.142
Bennett	2015	Ecosse	Centre	Arrière	183	89	26.576
Hidalgo-Clyne	2015	Ecosse	Demi	Arrière	175	87	28.408
Hogg	2015	Ecosse	Arrière	Arrière	180	93	28.704
Horne	2015	Ecosse	Centre	Arrière	183	92	27.472
Laidlaw	2015	Ecosse	Demi	Arrière	176	80	25.826
Lamont	2015	Ecosse	Ailier	Arrière	188	105	29.708
Maitland	2015	Ecosse	Ailier	Arrière	188	98	27.727
Pyrgos	2015	Ecosse	Demi	Arrière	178	80	25.249
Russell	2015	Ecosse	Demi	Arrière	182	87	26.265
Scott	2015	Ecosse	Centre	Arrière	186	101	29.194
Seymour	2015	Ecosse	Ailier	Arrière	183	95	28.368
Vernon	2015	Ecosse	Centre	Arrière	195	102	26.824
Visser	2015	Ecosse	Ailier	Arrière	196	109	28.374
Weir	2015	Ecosse	Demi	Arrière	176	90	29.055
Best	2015	Irlande	1ère ligne	Avant	180	110	33.951
Cronin	2015	Irlande	1ère ligne	Avant	180	101	31.173
Furlong	2015	Irlande	1ère ligne	Avant	185	119	34.770
Healy	2015	Irlande	1ère ligne	Avant	185	112	32.725
Heaslip	2015	Irlande	3e ligne	Avant	193	110	29.531
Henderson	2015	Irlande	2e ligne	Avant	198	114	29.079
Henry	2015	Irlande	3e ligne	Avant	191	107	29.330
McGrath	2015	Irlande	1ère ligne	Avant	185	118	34.478
Murphy	2015	Irlande	3e ligne	Avant	188	108	30.557
O'Brien	2015	Irlande	3e ligne	Avant	188	108	30.557
O'Connell	2015	Irlande	2e ligne	Avant	198	112	28.569
O'Mahony	2015	Irlande	3e ligne	Avant	191	107	29.330
Ross	2015	Irlande	1ère ligne	Avant	188	127	35.933
Ryan	2015	Irlande	2e ligne	Avant	201	116	28.712
Strauss	2015	Irlande	1ère ligne	Avant	175	101	32.980
Toner	2015	Irlande	2e ligne	Avant	208	124	28.661
White	2015	Irlande	1ère ligne	Avant	188	122	34.518
Bowe	2015	Irlande	Ailier	Arrière	190	96	26.593
Cave	2015	Irlande	Centre	Arrière	183	93	27.770
Earls	2015	Irlande	Ailier	Arrière	178	92	29.037
Fitzgerald	2015	Irlande	Ailier	Arrière	185	91	26.589
Henshaw	2015	Irlande	Centre	Arrière	191	100	27.412
Jackson	2015	Irlande	Demi	Arrière	180	80	24.691
Kearney D.	2015	Irlande	Ailier	Arrière	180	91	28.086
Kearney R.	2015	Irlande	Arrière	Arrière	185	95	27.757
Madigan	2015	Irlande	Demi	Arrière	180	90	27.778
Murray	2015	Irlande	Demi	Arrière	188	94	26.596
Payne	2015	Irlande	Centre	Arrière	188	95	26.879
Reddan	2015	Irlande	Demi	Arrière	178	83	26.196
Sexton	2015	Irlande	Demi	Arrière	188	92	26.030
Zebo	2015	Irlande	Ailier	Arrière	188	94	26.596
Baldwin	2015	Pays de Galles	1ère ligne	Avant	190	115	31.856
Ball	2015	Pays de Galles	2e ligne	Avant	200	122	30.500
Charteris	2015	Pays de Galles	2e ligne	Avant	206	125	29.456
Davies B.	2015	Pays de Galles	2e ligne	Avant	198	122	31.119
Day	2015	Pays de Galles	2e ligne	Avant	196	116	30.196
Faletau	2015	Pays de Galles	3e ligne	Avant	189	113	31.634
Francis	2015	Pays de Galles	1ère ligne	Avant	189	130	36.393
James	2015	Pays de Galles	1ère ligne	Avant	186	116	33.530
Jarvis	2015	Pays de Galles	1ère ligne	Avant	183	116	34.638
Jenkins	2015	Pays de Galles	1ère ligne	Avant	188	117	33.103
Jones	2015	Pays de Galles	2e ligne	Avant	196	125	32.539
Warburton	2015	Pays de Galles	3e ligne	Avant	188	103	29.142
King	2015	Pays de Galles	3e ligne	Avant	193	108	28.994
Lee	2015	Pays de Galles	1ère ligne	Avant	192	107	29.026
Lydiate	2015	Pays de Galles	3e ligne	Avant	193	115	30.873
Owens	2015	Pays de Galles	1ère ligne	Avant	184	108	31.900
Tipuric	2015	Pays de Galles	3e ligne	Avant	186	101	29.194
Allen	2015	Pays de Galles	Centre	Arrière	193	99	26.578
Amos	2015	Pays de Galles	Ailier	Arrière	180	98	30.247
Biggar	2015	Pays de Galles	Demi	Arrière	185	94	27.465
Cuthbert	2015	Pays de Galles	Ailier	Arrière	198	103	26.273
Davies G.	2015	Pays de Galles	Demi	Arrière	178	90	28.406
Morgan	2015	Pays de Galles	Arrière	Arrière	173	77	25.728
North	2015	Pays de Galles	Ailier	Arrière	192	107	29.026
Priestland	2015	Pays de Galles	Demi	Arrière	182	90	27.171
Roberts	2015	Pays de Galles	Centre	Arrière	193	110	29.531
Williams Li.	2015	Pays de Galles	Arrière	Arrière	188	87	24.615
Williams Ll.	2015	Pays de Galles	Demi	Arrière	183	89	26.576
Williams S.	2015	Pays de Galles	Centre	Arrière	185	100	29.218
Phillips	2015	Pays de Galles	Demi	Arrière	191	102	27.960
Walker	2015	Pays de Galles	Ailier	Arrière	184	91	26.879
Alemanno	2015	Argentine	2e ligne	Avant	198	112	28.569
Ayerza	2015	Argentine	1ère ligne	Avant	186	113	32.663
Creevy	2015	Argentine	1ère ligne	Avant	182	106	32.001
Orlandi	2015	Argentine	1ère ligne	Avant	190	119	32.964
Fernandez Lobbe	2015	Argentine	3e ligne	Avant	191	106	29.056
Galarza	2015	Argentine	2e ligne	Avant	203	115	27.907
Herrera	2015	Argentine	1ère ligne	Avant	191	130	35.635
Isa	2015	Argentine	3e ligne	Avant	188	103	29.142
Lavanini	2015	Argentine	2e ligne	Avant	200	118	29.500
Leguizamon	2015	Argentine	3e ligne	Avant	190	104	28.809
Matera	2015	Argentine	3e ligne	Avant	193	99	26.578
Montoya	2015	Argentine	1ère ligne	Avant	183	110	32.847
Noguera	2015	Argentine	1ère ligne	Avant	179	107	33.395
Desio	2015	Argentine	3e ligne	Avant	193	104	27.920
Pagadizabal	2015	Argentine	2e ligne	Avant	193	104	27.920
Senatore	2015	Argentine	3e ligne	Avant	191	106	29.056
Chaparro	2015	Argentine	1ère ligne	Avant	188	121	34.235
Agulla	2015	Argentine	Ailier	Arrière	181	90	27.472
Bosch	2015	Argentine	Centre	Arrière	186	92	26.593
Cordero	2015	Argentine	Ailier	Arrière	176	79	25.504
Cubelli	2015	Argentine	Demi	Arrière	175	79	25.796
De la Fuente	2015	Argentine	Centre	Arrière	183	93	27.770
Gonzalez Amorosino	2015	Argentine	Ailier	Arrière	185	93	27.173
Gonzalez Iglesias	2015	Argentine	Centre	Arrière	178	89	28.090
Hernandez	2015	Argentine	Demi	Arrière	187	94	26.881
Imhoff	2015	Argentine	Ailier	Arrière	185	90	26.297
Landajo	2015	Argentine	Demi	Arrière	171	81	27.701
Moroni	2015	Argentine	Centre	Arrière	184	85	25.106
Sanchez	2015	Argentine	Demi	Arrière	177	83	26.493
Socino	2015	Argentine	Centre	Arrière	174	98	32.369
Tuculet	2015	Argentine	Arrière	Arrière	184	86	25.402
Moore	2015	Australie	1ère ligne	Avant	186	112	32.374
Polota-Nau	2015	Australie	1ère ligne	Avant	181	114	34.797
Sio	2015	Australie	1ère ligne	Avant	187	115	32.886
Slipper	2015	Australie	1ère ligne	Avant	186	117	33.819
Holmes	2015	Australie	1ère ligne	Avant	187	114	32.600
Kepu	2015	Australie	1ère ligne	Avant	188	118	33.386
Simmons	2015	Australie	2e ligne	Avant	200	115	28.750
Skelton	2015	Australie	2e ligne	Avant	203	140	33.973
Mumm	2015	Australie	2e ligne	Avant	196	109	28.374
Palu	2015	Australie	3e ligne	Avant	194	115	30.556
McCalman	2015	Australie	3e ligne	Avant	192	106	28.754
Fardy	2015	Australie	3e ligne	Avant	198	114	29.079
Hooper	2015	Australie	3e ligne	Avant	182	101	30.491
Pocock	2015	Australie	3e ligne	Avant	187	115	32.886
Smith	2015	Australie	1ère ligne	Avant	190	116	32.133
Douglas	2015	Australie	2e ligne	Avant	202	123	30.144
McMahon	2015	Australie	3e ligne	Avant	186	100	28.905
Genia	2015	Australie	Demi	Arrière	174	82	27.084
Phipps	2015	Australie	Demi	Arrière	180	87	26.852
Foley	2015	Australie	Demi	Arrière	182	89	26.869
Toomua	2015	Australie	Centre	Arrière	182	90	27.171
Cooper	2015	Australie	Demi	Arrière	186	92	26.593
Folau	2015	Australie	Arrière	Arrière	193	103	27.652
Beale	2015	Australie	Demi	Arrière	184	92	27.174
Kuridrani	2015	Australie	Centre	Arrière	192	102	27.669
Giteau	2015	Australie	Demi	Arrière	178	84	26.512
Mitchell	2015	Australie	Ailier	Arrière	182	92	27.774
Ashley-Cooper	2015	Australie	Centre	Arrière	182	98	29.586
Horne	2015	Australie	Ailier	Arrière	186	93	26.882
Tomane	2015	Australie	Ailier	Arrière	188	101	28.576
Speight	2015	Australie	Ailier	Arrière	186	97	28.038
Mealamu	2015	Nouvelle-Zélande	1ère ligne	Avant	181	109	33.271
Taylor	2015	Nouvelle-Zélande	1ère ligne	Avant	183	106	31.652
Coles	2015	Nouvelle-Zélande	1ère ligne	Avant	184	110	32.491
Woodcock	2015	Nouvelle-Zélande	1ère ligne	Avant	184	120	35.444
Crockett	2015	Nouvelle-Zélande	1ère ligne	Avant	193	116	31.142
Franks O.	2015	Nouvelle-Zélande	1ère ligne	Avant	185	118	34.478
Franks B.	2015	Nouvelle-Zélande	1ère ligne	Avant	183	117	34.937
Whitelock	2015	Nouvelle-Zélande	2e ligne	Avant	202	116	28.429
Retallick	2015	Nouvelle-Zélande	2e ligne	Avant	204	120	28.835
Romano	2015	Nouvelle-Zélande	2e ligne	Avant	199	113	28.535
McCaw	2015	Nouvelle-Zélande	3e ligne	Avant	187	105	30.027
Kaino	2015	Nouvelle-Zélande	3e ligne	Avant	196	110	28.634
Messam	2015	Nouvelle-Zélande	3e ligne	Avant	190	109	30.194
Read	2015	Nouvelle-Zélande	3e ligne	Avant	193	110	29.531
Vito	2015	Nouvelle-Zélande	3e ligne	Avant	192	109	29.568
Cane	2015	Nouvelle-Zélande	3e ligne	Avant	189	105	29.394
Faumuina	2015	Nouvelle-Zélande	1ère ligne	Avant	184	128	37.807
Smith A.	2015	Nouvelle-Zélande	Demi	Arrière	171	82	28.043
Perenara	2015	Nouvelle-Zélande	Demi	Arrière	183	94	28.069
Carter	2015	Nouvelle-Zélande	Demi	Arrière	178	96	30.299
Slade	2015	Nouvelle-Zélande	Demi	Arrière	183	90	26.874
Barrett	2015	Nouvelle-Zélande	Demi	Arrière	187	91	26.023
Williams	2015	Nouvelle-Zélande	Centre	Arrière	191	108	29.604
Nonu	2015	Nouvelle-Zélande	Centre	Arrière	182	108	32.605
Fekitoa	2015	Nouvelle-Zélande	Centre	Arrière	187	99	28.311
Smith C.	2015	Nouvelle-Zélande	Centre	Arrière	186	95	27.460
Naholo	2015	Nouvelle-Zélande	Ailier	Arrière	186	102	29.483
Smith B.	2015	Nouvelle-Zélande	Ailier	Arrière	186	94	27.171
Savea	2015	Nouvelle-Zélande	Ailier	Arrière	192	106	28.754
Milner-Skudder	2015	Nouvelle-Zélande	Ailier	Arrière	182	90	27.171
Kerr-Barlow	2015	Nouvelle-Zélande	Demi	Arrière	187	89	25.451
Du Plessis B.	2015	Afrique du Sud	1ère ligne	Avant	190	115	31.856
Strauss	2015	Afrique du Sud	1ère ligne	Avant	184	112	33.081
Brits	2015	Afrique du Sud	1ère ligne	Avant	182	100	30.190
Nyakane	2015	Afrique du Sud	1ère ligne	Avant	178	120	37.874
Malherbe	2015	Afrique du Sud	1ère ligne	Avant	190	123	34.072
Du Plessis J.	2015	Afrique du Sud	1ère ligne	Avant	187	123	35.174
Mtawarira	2015	Afrique du Sud	1ère ligne	Avant	183	116	34.638
Matfield	2015	Afrique du Sud	2e ligne	Avant	201	110	27.227
Etzebeth	2015	Afrique du Sud	2e ligne	Avant	203	117	28.392
Du Toit	2015	Afrique du Sud	2e ligne	Avant	200	115	28.750
De Jager	2015	Afrique du Sud	2e ligne	Avant	205	125	29.744
Burger	2015	Afrique du Sud	3e ligne	Avant	193	110	29.531
Louw	2015	Afrique du Sud	3e ligne	Avant	190	114	31.579
Kolisi	2015	Afrique du Sud	3e ligne	Avant	186	99	28.616
Alberts	2015	Afrique du Sud	3e ligne	Avant	192	120	32.552
Oosthuizen	2015	Afrique du Sud	1ère ligne	Avant	187	126	36.032
Vermeulen	2015	Afrique du Sud	3e ligne	Avant	193	108	28.994
Pienaar	2015	Afrique du Sud	Demi	Arrière	186	92	26.593
Lambie	2015	Afrique du Sud	Demi	Arrière	177	89	28.408
Pollard	2015	Afrique du Sud	Demi	Arrière	189	98	27.435
Kirchner	2015	Afrique du Sud	Arrière	Arrière	184	92	27.174
Le Roux	2015	Afrique du Sud	Arrière	Arrière	186	90	26.015
Kriel	2015	Afrique du Sud	Centre	Arrière	186	96	27.749
De Allende	2015	Afrique du Sud	Centre	Arrière	189	109	30.514
De Villiers	2015	Afrique du Sud	Centre	Arrière	190	100	27.701
Mvovo	2015	Afrique du Sud	Ailier	Arrière	181	93	28.387
Habana	2015	Afrique du Sud	Ailier	Arrière	179	94	29.337
Pietersen	2015	Afrique du Sud	Ailier	Arrière	191	102	27.960
Du Preez	2015	Afrique du Sud	Demi	Arrière	183	88	26.277
Paige	2015	Afrique du Sud	Demi	Arrière	169	77	26.960
Steyn	2015	Afrique du Sud	Demi	Arrière	186	91	26.304
