annee,academie,bac_general Inscrits,bac_general Présents,bac_general Réussite,bac_general Réussite (chiffres),bac_general AB,bac_general B,bac_general TB,bac_pro Inscrits,bac_pro Présents,bac_pro Réussite,bac_pro AB,bac_pro B,bac_pro TB,bac_techno Inscrits,bac_techno Présents,bac_techno Réussite,bac_techno AB,bac_techno B,bac_techno TB
2014,CRETEIL,21782,21394,"0,8749182014",18718,4950,2820,1821,15554,15218,"0,7518727822",3610,1081,117,10692,10375,"0,8906987952",3023,1048,174
2014,DIJON,7873,7798,"0,9149781995",7135,1907,1227,825,4652,4603,"0,8372800348",1408,558,71,3042,2990,"0,9127090301",829,260,52
2014,GRENOBLE,17821,17674,"0,9335181623",16499,4719,3029,2001,8876,8766,"0,8470225873",2795,1056,137,6397,6302,"0,9430339575",2150,785,106
2014,GUADELOUPE,2781,2761,"0,8652662079",2389,549,323,162,2058,2024,"0,8206521739",496,131,3,1282,1260,"0,9198412698",285,84,8
2014,GUYANE,1092,1078,"0,8098330241",873,179,89,52,1177,1160,"0,674137931",168,37,2,693,672,"0,7708333333",104,21,3
2014,LA REUNION,4694,4629,"0,9228775113",4272,1084,734,576,3371,3343,"0,7442416991",673,241,24,2730,2691,"0,884057971",707,240,36
2014,LILLE,19776,19601,"0,9015356359",17671,4631,3105,2449,15237,15079,"0,8129186286",4290,1577,222,9000,8835,"0,9222410866",2791,1016,215
2014,LIMOGES,3145,3111,"0,9231758277",2872,758,460,362,2102,2072,"0,8368725869",684,266,31,1290,1263,"0,9247822644",399,164,25
2014,LYON,16518,16349,"0,9151630069",14962,4322,2679,1636,8848,8710,"0,8417910448",2696,967,136,7061,6945,"0,9115910727",2126,654,90
2014,MARTINIQUE,1985,1953,"0,8822324629",1723,408,254,145,1944,1885,"0,823872679",453,95,5,1059,1023,"0,9149560117",263,59,15
2014,MAYOTTE,1379,1360,"0,6602941176",898,154,58,22,870,858,"0,7412587413",142,27,3,1300,1274,"0,5918367347",94,21,0
2014,MONTPELLIER,12882,12746,"0,9052251687",11538,3098,1986,1256,8278,8150,"0,8204907975",2407,928,141,5727,5622,"0,9224475276",1683,572,97
2014,NANCY-METZ,11219,11090,"0,9088367899",10079,2808,1888,1240,8562,8509,"0,8257139499",2448,1044,143,5321,5224,"0,924770291",1681,632,136
2014,NANTES,18338,18254,"0,9406157555",17170,5118,3307,1803,10286,10198,"0,8718376152",3601,1333,163,6968,6894,"0,9487960545",2479,831,118
2014,NICE,11026,10887,"0,9039221089",9841,2711,1769,1176,5632,5517,"0,8236360341",1577,601,91,4187,4108,"0,9036027264",1227,422,78
2014,ORLEANS-TOURS,12154,12034,"0,9149077613",11010,3106,1972,1316,6816,6736,"0,8205166271",1945,805,93,5108,5028,"0,9112967383",1552,546,89
2014,PARIS,15924,15645,"0,9073186322",14195,3777,3224,2337,6081,5924,"0,8122889939",1711,631,94,3984,3848,"0,8965696466",1137,547,122
2014,POITIERS,8065,8018,"0,9191818409",7370,2013,1290,835,4815,4770,"0,8337526205",1488,516,62,3188,3150,"0,9393650794",1048,353,53
2014,REIMS,6325,6275,"0,8819123506",5534,1479,883,645,4331,4278,"0,8146330061",1260,415,64,2608,2577,"0,9041521149",764,230,32
2014,RENNES,16871,16719,"0,9402476225",15720,4748,2891,1753,9367,9265,"0,8796546141",3358,1259,166,6890,6829,"0,9494801581",2506,798,118
2014,ROUEN,9511,9449,"0,9035876812",8538,2317,1455,1056,6150,6075,"0,7952263374",1634,635,138,4029,3959,"0,8946703713",1116,393,69
2014,STRASBOURG,9250,9161,"0,9279554634",8501,2402,1691,1244,5875,5804,"0,8246037216",1709,759,121,3811,3748,"0,9210245464",1260,464,92
2014,TOULOUSE,14343,14223,"0,9216761583",13109,3634,2361,1522,8625,8549,"0,8452450579",2559,1150,152,5648,5565,"0,9203953279",1749,585,103
2014,VERSAILLES,34651,34191,"0,9050042409",30943,8492,5863,3967,15813,15476,"0,7925174464",4246,1540,178,12942,12571,"0,8940418423",3691,1201,197
