Nom,Circonscription,Date,Echéance,Prolongation,Démission,Nom,Ministère,Lien,Lien prolongation
Fançois Brotte,,19/02/2015,19/08/2015,17/08/2015,,Sécurité d'approvisionnement en électricité        ,"ministre de l'écologie, du développement durable et de l'énergie, ministre de l'économie, de l'industrie et du numérique",http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030258546,http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000031047518
Malek Boutih,,26/02/2015,26/08/2015,,,,ministre de l'intérieur,http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030290138,
Sandrine Hurel,,27/02/2015,27/08/2015,24/08/2015,,Politique vaccinale        ,"ministre des affaires sociales, de la santé et des droits des femmes",http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030295948,http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000031082378
Joël Giraud,,16/03/2015,16/09/2015,,,prélèvements d'eau dans le cadre de l'agriculture de montagne,"ministre de l'écologie, du développement durable et de l'énergie",http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030361854,
Brigitte Bourguignon,,23/03/2015,23/09/2015,,,évolutions possibles de l’architecture des diplômes," ministre des affaires sociales, de la santé et des droits des femmes, secrétaire d'Etat chargée des personnes handicapées et de la lutte contre l'exclusion",http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030391246,
Fabrice Verdier,,08/04/2015,08/10/2015,,,avenir du Régime social des indépendants,"ministre des finances et des comptes publics, ministre des affaires sociales, de la santé et des droits des femmes",http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030462501,
Sylviane Bulteau,,08/04/2015,08/10/2015,,,avenir du Régime social des indépendants,"ministre des finances et des comptes publics, ministre des affaires sociales, de la santé et des droits des femmes",http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030462496,
Victorin Lurel,,17/05/2015,17/11/2015,,,Mesures pour permettre d'accélérer la marche des outre-mer vers l'égalité réelle,ministre des outre-mer,http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030744411,
Marie-Anne Chapdelaine,,30/05/2015,30/11/2015,,,Suicide de jeunes amérindiens de Guyane        ,ministre des outre-mer,http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030660903,
Philippe Biès,,02/07/2015,02/01/2016,,,régime local d'assurance maladie d'Alsace Moselle,"ministre des affaires sociales, de la santé et des droits des femmes, ministre de l'agriculture, de l'agroalimentaire et de la forêt",http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030830606,
Denis Jacquat,,02/07/2015,02/01/2016,,,régime local d'assurance maladie d'Alsace Moselle,"ministre des affaires sociales, de la santé et des droits des femmes, ministre de l'agriculture, de l'agroalimentaire et de la forêt",http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030830611,
