"I","P","Heure De Collecte","Url Source","Titre","Competiton","Type","Realise Par","Pays","Awards","Duree","Premier Film","Categorie4","Annee"
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/2034/year/1977.html","LA DENTELLIERE","En Compétition","Longs Métrages","Claude GORETTA","SUISSE, FRANCE","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/1440/year/1983.html","LA MORT DE MARIO RICCI","En Compétition","Longs Métrages","Claude GORETTA","SUISSE, FRANCE","Prix d'interprétation masculine, 1983","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/2827/year/1966.html","UN HOMME ET UNE FEMME","En Compétition","Longs Métrages","Claude LELOUCH","FRANCE","Grand Prix du XXème Anniversaire du Festival International du Film Ex-aequo, 1966","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/1731/year/1981.html","LES UNS ET LES AUTRES","En Compétition","Longs Métrages","Claude LELOUCH","FRANCE","Grand Prix de la Commission Supérieure Technique du cinéma français, 1981","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/4900/year/1998.html","LA CLASSE DE NEIGE","En Compétition","Longs Métrages","Claude MILLER","FRANCE","Prix du Jury Ex-aequo, 1998","98.00 minutes","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/4086211/year/2003.html","LA PETITE LILI","En Compétition","Longs Métrages","Claude MILLER","FRANCE","","104.00 minutes","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/2469/year/1970.html","LES CHOSES DE LA VIE","En Compétition","Longs Métrages","Claude SAUTET","FRANCE","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/938/year/1985.html","PALE RIDER","En Compétition","Longs Métrages","Clint EASTWOOD","ÉTATS-UNIS","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/316/year/1988.html","BIRD","En Compétition","Longs Métrages","Clint EASTWOOD","ÉTATS-UNIS","Grand Prix de la Commission Supérieure Technique, 1988;Prix d'interprétation masculine, 1988","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/157/year/1990.html","WHITE HUNTER, BLACK HEART (CHASSEUR BLANC, COEUR NOIR)","En Compétition","Longs Métrages","Clint EASTWOOD","ÉTATS-UNIS","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/4086166/year/2003.html","MYSTIC RIVER","En Compétition","Longs Métrages","Clint EASTWOOD","ÉTATS-UNIS","","137.00 minutes","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/10803061/year/2008.html","L'ECHANGE","En Compétition","Longs Métrages","Clint EASTWOOD","ÉTATS-UNIS","Prix spécial du 61e Festival Ex-aequo, 2008","141.00 minutes","","","2007"
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/2683/year/1968.html","HERE WE GO ROUND THE MULBERRY BUSH (TROIS PETITS TOURS ET PUIS S'EN VONT?)","En Compétition","Longs Métrages","Clive DONNER","ROYAUME-UNI","","","","",""
