"Agence","Code","Département","Nombre de retours à l'emploi","Taux de paiements dans les délais","Taux de satisfaction des demandeurs d'emploi","Taux de satisfaction des entreprises","Nombre de demandeurs d'emploi","Taille moyenne des portefeuilles suivis","Taille moyenne des portefeuilles guidés","Taille moyenne des portefeuilles renforcés"
"SAINT QUENTIN PERI","PIC0065",2,2495,"96 %","62 %","67 %",3393,275,136,71
"SAINT RAPHAEL","PAC0081",83,4741,"95 %","77 %","68 %",4868,454,165,70
"SAINT SEBASTIEN","PDL0071",44,5729,"91 %","55 %","59 %",3834,256,98,71
"SAINT VINCENT DE TYROSSE","AQU0048",40,5814,"96 %","67 %","63 %",4388,332,140,72
"SAINT-ASTIER","AQU0061",24,3689,"93 %","73 %","66 %",4138,292,139,74
"SAINT-AVOLD","LOR0096",57,4209,"95 %","72 %","71 %",4044,296,201,87
"SAINT-DENIS","IDF0247",93,7782,"89 %","51 %","69 %",9754,294,199,65
"SAINTE CLOTILDE","REU0044",974,2441,"90 %","51 %","71 %",6052,422,446,122
"SAINTE MARIE REUNION","REU0046",974,3696,"88 %","59 %","71 %",7559,347,250,75
"SAINTE ROSE","GUA0012",971,1850,"91 %","61 %","65 %",5539,407,247,65
"SAINTE-GENEVIÈVE-DES-BOIS","IDF0153",91,3732,"96 %","73 %","62 %",3621,230,101,63
"SAINTE-MARIE","MAR0010",972,1802,"95 %","ND","69 %",4620,332,144,97
"SAINTES SAINT GEORGES","PCH0069",17,5220,"93 %","64 %","65 %",5519,364,165,73
"SAINT-GERMAIN-EN-LAYE","IDF0374",78,4844,"93 %","72 %","58 %",5338,202,124,67
"SAINT-GRATIEN CADRES","IDF0427",95,1159,"95 %","74 %","62 %",1425,"ND","ND","ND"
"SAINT-MAUR-DES-FOSSES","IDF0282",94,2913,"94 %","62 %","62 %",2708,227,127,48
"SAINT-MEDARD-EN-JALLES","AQU0094",33,4844,"93 %","57 %","65 %",4286,284,176,85
"SAINT-OUEN","IDF0260",93,4128,"94 %","62 %","69 %",4912,244,168,60
"SAINT-OUEN-L'AUMÔNE","IDF0111",95,4884,"94 %","64 %","62 %",4677,216,153,67
"SAINT-PIERRE D'OLERON","PCH0079",17,2504,"94 %","69 %","65 %",2292,336,163,69
"SALLANCHES","RHA0117",74,6071,"96 %","76 %","60 %",3368,276,86,75
"SALON DE PROVENCE","PAC0058",13,6882,"96 %","64 %","62 %",6843,285,130,71
"SARCELLES","IDF0108",95,6773,"91 %","65 %","62 %",8188,214,174,74
"SARLAT","AQU0068",24,3277,"94 %","73 %","66 %",3035,153,126,71
"SARREBOURG","LOR0091",57,4347,"93 %","68 %","71 %",3896,266,205,81
"SARREGUEMINES","LOR0092",57,4610,"94 %","61 %","71 %",4991,380,137,66
"SARTROUVILLE","IDF0381",78,7705,"94 %","59 %","58 %",7476,218,123,54
"SAUMUR","PDL0115",49,9191,"92 %","72 %","64 %",6553,350,176,82
"SAVERNE","ALS0024",67,5272,"89 %","67 %","65 %",4651,356,118,66
"SAVIGNY-LE-TEMPLE","IDF0345",77,8740,"95 %","58 %","65 %",7878,161,172,59
"SAVIGNY-SUR-ORGE","IDF0154",91,3987,"94 %","72 %","62 %",3960,110,154,64
"SCHILTIGHEIM","ALS0028",67,7569,"93 %","68 %","65 %",7737,293,137,64
"SCHOELCHER MADIANA","MAR0020",972,2268,"92 %","68 %","69 %",4935,513,189,63
"SECLIN","NPC0054",59,3931,"93 %","63 %","67 %",3822,250,137,47
"SEDAN","CHA0049",8,3172,"94 %","67 %","67 %",4106,250,102,73
"SEGRE","PDL0119",49,3510,"97 %","69 %","64 %",2511,107,103,57
"SELESTAT-SAINTE MARIE AUX MINES","ALS0025",67,6461,"94 %","72 %","65 %",5247,317,146,66
"SENS","BRG0019",89,5708,"93 %","64 %","65 %",6105,257,166,79
"SETE","LAN0074",34,7939,"91 %","65 %","67 %",9308,462,153,78
"SEVRAN","IDF0265",93,3352,"92 %","67 %","69 %",4239,335,149,75
"SEYNOD","RHA0119",74,5604,"93 %","67 %","60 %",3783,319,114,54
