"Agence","Code","Département","Nombre de retours à l'emploi","Taux de paiements dans les délais","Taux de satisfaction des demandeurs d'emploi","Taux de satisfaction des entreprises","Nombre de demandeurs d'emploi","Taille moyenne des portefeuilles suivis","Taille moyenne des portefeuilles guidés","Taille moyenne des portefeuilles renforcés"
"ISSY-LES-MOULINEAUX","IDF0200",92,6209,"94 %","62 %","58 %",5664,215,165,60
"ISSY-LES-MOULINEAUX CADRES","IDF0178",92,2119,"94 %","73 %","58 %",2808,"ND","ND","ND"
"ISTRES","PAC0063",13,4150,"95 %","63 %","62 %",4205,262,178,65
"IVRY-SUR-SEINE","IDF0301",94,3666,"95 %","70 %","62 %",4160,205,175,53
"JOIGNY","BRG0021",89,3000,"95 %","55 %","65 %",2777,351,158,93
"JONZAC","PCH0072",17,2845,"96 %","67 %","65 %",3147,364,157,60
"JOUE LES TOURS","CEN0035",37,5317,"92 %","58 %","67 %",4678,320,170,74
"JUVISY-SUR-ORGE","IDF0140",91,4307,"96 %","67 %","62 %",3998,112,124,61
"KOUROU","GUY0011",973,1254,"92 %","69 %","72 %",3779,387,224,84
"LA BAULE GUERANDE","PDL0079",44,4826,"92 %","70 %","59 %",4013,264,167,83
"LA CIOTAT","PAC0053",13,3813,"93 %","68 %","62 %",3890,394,190,58
"LA COTE SAINT ANDRE","RHA0020",38,4022,"91 %","57 %","63 %",3358,234,166,72
"LA COURNEUVE","IDF0246",93,4607,"88 %","56 %","69 %",5753,203,170,63
"LA FERTE BERNARD","PDL0042",5372,3107,"94 %","81 %","60 %",2417,229,110,85
"LA FERTÉ-SOUS-JOUARRE","IDF0330",77,2721,"95 %","75 %","65 %",2886,279,172,59
"LA FLECHE","PDL0041",5372,2720,"91 %","ND","60 %",2127,516,180,61
"LA MADELEINE","NPC0031",59,4112,"96 %","65 %","67 %",4126,161,233,59
"LA POSSESSION","REU0010",974,2078,"94 %","58 %","71 %",3943,458,396,61
"LA RIVIERE","REU0026",974,2265,"90 %","ND","71 %",5734,252,281,69
"LA ROCHE NORD","PDL0018",85,6183,"92 %","55 %","68 %",5063,286,189,60
"LA ROCHE SUD","PDL0017",85,5680,"95 %","60 %","68 %",4651,216,178,70
"LA ROCHELLE LAGORD","PCH0077",17,5326,"93 %","62 %","65 %",4639,461,153,69
"LA ROCHELLE-BEL AIR","PCH0073",17,4410,"92 %","63 %","65 %",4614,414,182,74
"LA ROCHELLE-VILLENEUVE","PCH0075",17,6054,"90 %","70 %","65 %",5510,417,171,75
"LA SEYNE SUR MER","PAC0091",83,5056,"94 %","62 %","68 %",5719,481,183,63
"LA TESTE","AQU0109",33,7000,"92 %","68 %","65 %",6457,319,151,69
"LA TOUR DU PIN","RHA0030",38,5240,"90 %","58 %","63 %",4547,1125,161,68
"LA TRINITE","MAR0007",972,2288,"92 %","ND","69 %",5637,216,237,79
"LA VALETTE","PAC0088",83,6575,"93 %","72 %","68 %",6518,320,164,79
"LABEGE","MPY0096",31,4198,"92 %","64 %","64 %",3742,122,138,72
"LAGNY","IDF0349",77,2731,"91 %","65 %","65 %",2585,170,135,79
"L'AIGLE","BNO0016",61,1871,"94 %","ND","64 %",2000,247,117,37
"LAMBALLE","BRE0094",22,3655,"94 %","68 %","58 %",2786,159,152,67
"LANDERNEAU","BRE0047",29,3861,"95 %","61 %","64 %",3199,103,120,74
"LANESTER","BRE0016",56,5787,"95 %","59 %","59 %",4979,279,143,77
"LANGON","AQU0108",33,7170,"92 %","67 %","65 %",7941,339,140,74
"LANGRES ","CHA0011",52,2042,"97 %","86 %","71 %",1761,275,151,70
"LANNEMEZAN","MPY0065",93265,2536,"94 %","69 %","75 %",2144,150,112,62
"LANNION","BRE0098",22,5261,"94 %","64 %","58 %",4995,196,128,75
"LAON","PIC0063",2,5198,"94 %","77 %","67 %",7015,295,233,74
"LAVAL FERRIE","PDL0052",5372,4780,"93 %","70 %","60 %",3179,133,134,70
"LAVAL SAINT NICOLAS","PDL0050",5372,3904,"94 %","68 %","60 %",3229,240,130,62
"LAVELANET","MPY0120",93265,1380,"95 %","79 %","75 %",1867,229,60,55
"LE BLANC-MESNIL","IDF0239",93,3304,"93 %","55 %","69 %",4417,237,158,99
"LE BOUSCAT","AQU0102",33,4584,"93 %","60 %","65 %",3904,329,134,69
"LE CANNET","PAC0173",6,4769,"92 %","67 %","66 %",4812,373,186,72
"LE CANNET COEUR DU VAR","PAC0080",83,3306,"94 %","63 %","68 %",3725,334,169,68
"LE CATEAU-CAMBRESIS","NPC0091",59,1486,"97 %","ND","67 %",2285,440,166,55
"LE CREUSOT","BRG0043",71,2532,"94 %","64 %","67 %",2681,382,158,73
"LE FRANCOIS","MAR0112",972,324,"95 %","ND","69 %",3376,346,154,73
"LE HAVRE FERRER","HNO0033",76,4587,"92 %","67 %","61 %",6550,332,234,70
"LE HAVRE SOUDAY","HNO0043",76,3112,"93 %","64 %","61 %",4013,243,184,68
"LE HAVRE VILLE HAUTE","HNO0017",76,3306,"94 %","54 %","61 %",4515,344,179,97
"LE MANS FACULTE","PDL0031",5372,8228,"89 %","55 %","60 %",6964,348,228,62
"LE MANS GARE","PDL0039",5372,6305,"91 %","61 %","60 %",6283,270,214,59
"LE MANS LES SABLONS","PDL0038",5372,5179,"92 %","47 %","60 %",5875,217,162,76
"LE MARIN MONTGERALD","MAR0006",972,2315,"91 %","54 %","69 %",4416,230,152,64
"LE PONTET","PAC0117",84,5696,"95 %","63 %","66 %",6117,433,232,77
"LE PORT","REU0017",974,2515,"91 %","ND","71 %",6612,257,284,88
"LE PUY EN VELAY","AUV0041",4315,4469,"94 %","58 %","70 %",4667,470,99,59
"LE QUESNOY","NPC0092",59,1583,"97 %","69 %","67 %",1968,170,144,63
"LE TAMPON","REU0028",974,5472,"92 %","58 %","71 %",12905,384,374,74
"LE TREPORT","HNO0025",76,2363,"94 %","58 %","61 %",2335,434,178,67
"LE VIGAN","LAN0038",3048,2821,"91 %","68 %","66 %",2677,247,178,69
"LENS GARE","NPC0138",62,4935,"94 %","62 %","70 %",6158,350,220,67
"LENS ZOLA","NPC0161",62,4851,"95 %","64 %","70 %",5925,156,162,49
"L'EPERON","REU0016",974,3868,"94 %","55 %","71 %",8134,367,282,49
"LES HERBIERS","PDL0020",85,5942,"95 %","63 %","68 %",3107,296,161,63
"LES MUREAUX","IDF0373",78,5478,"91 %","60 %","58 %",5808,230,117,78
"LES ULIS","IDF0152",91,3788,"95 %","63 %","62 %",3449,457,163,64
"LEVALLOIS-PERRET","IDF0188",92,3552,"96 %","70 %","58 %",3942,234,88,67
"LEZIGNAN CORBIERES","LAN0090",11,2307,"93 %","73 %","72 %",2769,365,164,72
"L'HAY-LES-ROSES","IDF0291",94,3769,"97 %","66 %","62 %",3945,335,141,60
"LIBOURNE","AQU0111",33,8594,"94 %","59 %","65 %",10206,352,139,74
"LIEVIN","NPC0173",62,4561,"94 %","62 %","70 %",5878,232,185,78
"LILLE GRAND SUD","NPC0032",59,4928,"95 %","49 %","67 %",6759,420,208,65
"LILLE PORT FLUVIAL","NPC0026",59,4100,"98 %","56 %","67 %",4858,381,185,68
"LILLE REPUBLIQUE","NPC0044",59,4286,"96 %","48 %","67 %",5045,401,238,74
"LILLE VAUCANSON","NPC0024",59,4647,"95 %","53 %","67 %",4742,294,171,67
"LILLEBONNE","HNO0045",76,3810,"91 %","ND","61 %",3930,407,148,68
"LILLERS","NPC0164",62,2951,"95 %","71 %","70 %",3668,110,151,60
"LIMOGES LECLERC","LIM0014",87,5559,"93 %","55 %","63 %",6398,285,158,74
"LIMOGES VENTADOUR","LIM0011",87,6178,"94 %","50 %","63 %",6676,408,198,80
"LIMOUX","LAN0087",11,2027,"88 %","65 %","72 %",2862,307,193,69
"LINGOLSHEIM","ALS0016",67,4913,"96 %","66 %","65 %",5154,350,159,61
"LISIEUX","BNO0055",14,4987,"95 %","60 %","67 %",4615,233,99,73
"L'ISLE JOURDAIN","MPY0064",93265,2089,"96 %","58 %","75 %",1705,121,138,59
"LIVRY-GARGAN","IDF0264",93,3457,"94 %","57 %","69 %",3774,176,121,80
"LOCHES","CEN0033",37,2452,"95 %","66 %","67 %",2266,282,155,85
"LOMME","NPC0057",59,4187,"97 %","59 %","67 %",4431,281,195,75
"LONGJUMEAU","IDF0149",91,3987,"94 %","66 %","62 %",3366,286,117,77
"LONGUENESSE","NPC0128",62,6538,"94 %","67 %","70 %",7454,287,211,71
"LONGWY","LOR0048",54,3741,"88 %","65 %","68 %",4926,147,219,52
"LONS","AQU0014",64,4818,"94 %","62 %","68 %",4257,339,192,73
"LONS LE SAUNIER","FRC0018",3970,5773,"95 %","67 %","68 %",4185,374,174,79
"LORIENT MARINE","BRE0017",56,3622,"96 %","58 %","59 %",3603,239,176,55
"LORIENT VILLE","BRE0018",56,4581,"96 %","62 %","59 %",4630,327,152,68
"LORMONT","AQU0098",33,7194,"94 %","66 %","65 %",6628,244,134,72
"LOUDEAC","BRE0099",22,2522,"91 %","ND","58 %",2134,272,106,56
"LOUDUN","PCH0014",86,1786,"81 %","64 %","67 %",1352,499,228,78
"LOUHANS","BRG0047",71,3281,"96 %","71 %","67 %",2893,338,153,63
"LOURDES","MPY0066",93265,4800,"97 %","79 %","75 %",4078,260,129,71
"LOUVIERS","HNO0062",27,5482,"94 %","70 %","64 %",4715,241,162,99
"LUCE","CEN0080",28,6019,"94 %","62 %","60 %",5108,275,158,112
"LUCON","PDL0454",85,2910,"96 %","63 %","68 %",2621,232,207,124
"LUNEL","LAN0060",34,3905,"95 %","62 %","67 %",4109,243,125,73
"LUNEVILLE","LOR0052",54,3462,"91 %","67 %","68 %",4338,280,181,71
"LURE","FRC0011",3970,3350,"94 %","69 %","68 %",3722,348,166,82
"LUXEUIL","FRC0014",3970,1986,"94 %","66 %","68 %",2204,379,136,76
"LYON ALBERT THOMAS","RHA0081",69,5124,"95 %","53 %","62 %",4627,216,167,65
"LYON BOLLIER","RHA0078",69,5096,"96 %","60 %","62 %",4431,160,121,47
"LYON CONFLUENCE","RHA0074",69,3390,"89 %","69 %","62 %",3100,199,88,60
"LYON CROIX-ROUSSE","RHA0065",69,1774,"92 %","62 %","62 %",1570,143,99,69
"LYON VAISE","RHA0075",69,5698,"87 %","55 %","62 %",5493,254,155,75
"LYON VIVIER MERLE","RHA0076",69,7227,"93 %","54 %","62 %",6695,153,98,66
"MACHECOUL","PDL0084",44,3044,"93 %","67 %","59 %",2007,160,78,76
"MACON","BRG0037",71,6277,"95 %","67 %","67 %",5008,281,178,76
"MAISONS-ALFORT","IDF0297",94,7300,"93 %","61 %","62 %",7973,249,101,66
"MAMERS","PDL0044",5372,2497,"91 %","ND","60 %",2136,283,158,79
"MANDELIEU","PAC0168",6,4237,"91 %","76 %","66 %",4430,268,184,76
"MANGOT VULCIN","MAR0023",972,2762,"93 %","68 %","69 %",4335,347,139,70
"MANOSQUE","PAC0132",405,4911,"96 %","68 %","72 %",5221,422,195,95
"MANTES-LA-JOLIE","IDF0372",78,10113,"94 %","58 %","58 %",11200,280,125,71
"MARIE GALANTE","GUA0016",971,433,"91 %","ND","65 %",1402,121,106,70
"MARIGNANE","PAC0055",13,3859,"93 %","59 %","62 %",4305,508,139,67
"MARMANDE","AQU0041",47,4535,"95 %","68 %","69 %",4807,305,148,66
"MARSEILLE BAILLE","PAC0066",13,3193,"91 %","64 %","62 %",3674,281,190,75
"MARSEILLE BELLE DE MAI","PAC0064",13,6019,"94 %","64 %","62 %",9096,206,127,79
"MARSEILLE BOUGAINVILLE","PAC0068",13,3659,"85 %","ND","62 %",5773,289,160,71
"MARSEILLE CARRE GABRIEL","PAC0062",13,3794,"94 %","59 %","62 %",6125,333,191,75
"MARSEILLE CHARTREUX","PAC0019",13,3315,"93 %","73 %","62 %",3825,411,178,87
"MARSEILLE MOUREPIANE","PAC0042",13,3495,"92 %","ND","62 %",5135,306,180,67
"MARSEILLE PARADIS","PAC0067",13,5618,"94 %","68 %","62 %",6917,321,167,64
"MARSEILLE PHARO","PAC0065",13,2783,"95 %","64 %","62 %",3002,195,155,58
"MARSEILLE PONT DE VIVAUX","PAC0060",13,6274,"93 %","60 %","62 %",8044,378,219,71
"MARSEILLE SAINT CHARLES","PAC0020",13,3379,"95 %","65 %","62 %",4749,395,144,69
"MARSEILLE VALENTINE","PAC0061",13,5685,"96 %","67 %","62 %",6640,443,179,78
"MARTIGUES","PAC0056",13,6191,"95 %","67 %","62 %",6540,345,170,68
"MAUBEUGE GARE","NPC0093",59,3116,"97 %","74 %","67 %",5626,306,216,75
"MAUBEUGE PASTEUR","NPC0089",59,2639,"96 %","68 %","67 %",4907,315,156,64
"MAYENNE","PDL0054",5372,3670,"93 %","63 %","60 %",3127,177,143,83
"MEAUX","IDF0332",77,7435,"91 %","57 %","65 %",7040,338,167,79
"MELLE","PCH0036",79,2188,"88 %","52 %","69 %",1898,464,174,73
"MENDE","LAN0030",3048,3206,"94 %","57 %","66 %",2747,169,215,98
"MENTON","PAC0169",6,4516,"94 %","74 %","66 %",5487,367,165,69
"MERIGNAC","AQU0106",33,5488,"93 %","59 %","65 %",4654,368,162,77
"MERU","PIC0045",60,3365,"93 %","70 %","63 %",3430,324,264,82
"METZ BLIDA","LOR0070",57,3813,"93 %","58 %","71 %",4501,282,197,67
"METZ SEBASTOPOL","LOR0094",57,4863,"92 %","65 %","71 %",5275,330,164,82
"METZ TAISON","LOR0089",57,3742,"93 %","59 %","71 %",4106,365,265,63
"MEXIMIEUX","RHA0211",1,3618,"94 %","65 %","59 %",2739,434,89,63
"MEYTHET","RHA0104",74,5336,"94 %","70 %","60 %",4217,217,149,91
"MEYZIEU","RHA0095",69,4289,"90 %","63 %","62 %",4001,226,137,74
"MILLAU","MPY0028",1281,3638,"95 %","77 %","68 %",3606,236,159,84
"MIRAMAS","PAC0008",13,2869,"94 %","68 %","62 %",2874,350,170,75
"MITRY-MORY","IDF0341",77,4763,"92 %","62 %","65 %",4558,212,151,67
"MOLSHEIM-SCHIRMECK","ALS0022",67,5944,"92 %","61 %","65 %",4614,289,170,66
"MONISTROL","AUV0044",4315,4251,"94 %","68 %","70 %",3459,354,107,42
"MONT DE MARSAN","AQU0043",40,6905,"95 %","66 %","63 %",5816,287,143,69
"MONTAIGU","PDL0016",85,2784,"93 %","61 %","68 %",1499,366,146,69
"MONTARGIS","CEN0069",45,6942,"96 %","69 %","63 %",8111,269,159,81
"MONTAUBAN ALBASUD","MPY0042",4682,5929,"94 %","58 %","67 %",6207,279,145,76
"MONTAUBAN NORD","MPY0044",4682,4087,"96 %","61 %","67 %",4587,326,112,73
"MONTBARD-CHATILLON","BRG0061",21,2634,"93 %","59 %","65 %",2954,428,112,75
"MONTBELIARD CENTRE","FRC0048",2590,2482,"96 %","65 %","65 %",2710,306,136,77
"MONTBELIARD HEXAGONE","FRC0034",2590,3564,"95 %","67 %","65 %",3777,264,181,81
"MONTBRISON","RHA0159",42,4718,"94 %","68 %","65 %",4013,151,120,52
"MONTCEAU LES MINES","BRG0045",71,2639,"97 %","66 %","67 %",2965,255,182,57
"MONTDIDIER","PIC0021",80,2313,"97 %","68 %","67 %",2187,265,192,84
"MONTELIMAR","RHA0193",726,6046,"92 %","64 %","66 %",6421,360,292,72
"MONTEREAU-FAULT-YONNE","IDF0335",77,4099,"93 %","57 %","65 %",4289,172,173,68
"MONTIGNY LES METZ","LOR0097",57,3738,"93 %","66 %","71 %",3828,290,204,71
"MONTLUCON NORD","AUV0054",3,2142,"91 %","56 %","64 %",2609,313,157,83
"MONTLUCON SUD","AUV0064",3,2956,"93 %","67 %","64 %",3883,240,150,77
"MONTMELIAN","RHA0134",73,2089,"91 %","59 %","65 %",1484,420,72,45
"MONTMORILLON","PCH0020",86,3124,"92 %","70 %","67 %",2786,273,190,71
"MONTPELLIER CASTELNAU","LAN0057",34,12800,"90 %","65 %","67 %",13493,452,158,66
"MONTPELLIER CELLENEUVE","LAN0071",34,5986,"90 %","56 %","67 %",6939,199,140,70
"MONTPELLIER MALBOSC","LAN0049",34,5461,"94 %","59 %","67 %",5997,352,181,64
"MONTPELLIER MAS DE GRILLE","LAN0050",34,7605,"91 %","64 %","67 %",8010,442,177,67
"MONTPELLIER MEDITERRANEE","LAN0056",34,7619,"93 %","69 %","67 %",7815,208,126,63
"MONTREUIL SOUS BOIS","IDF0255",93,10478,"95 %","55 %","69 %",11578,238,232,64
"MONTROUGE","IDF0190",92,7042,"93 %","61 %","58 %",7035,304,185,58
"MORLAIX","BRE0042",29,6811,"95 %","61 %","64 %",6344,300,164,67
"MORNE A L'EAU ESPERANCE","GUA0014",971,1964,"85 %","ND","65 %",6220,52,79,88
"MORTAGNE","BNO0017",61,1968,"95 %","69 %","64 %",1850,139,121,90
"MORTEAU","FRC0045",2590,2913,"95 %","69 %","65 %",2877,756,293,90
"MOULINS","AUV0061",3,4546,"94 %","57 %","64 %",5077,312,157,68
"MOURENX","AQU0020",64,3170,"96 %","73 %","68 %",2677,249,165,78
"MULHOUSE DROUOT","ALS0040",68,4961,"96 %","73 %","68 %",5547,335,135,74
"MULHOUSE VERRIERS","ALS0041",68,4234,"93 %","64 %","68 %",4722,311,138,81
"MULHOUSE-NORD","ALS0050",68,3399,"95 %","63 %","68 %",3825,295,94,70
"MULHOUSE-PORTE DE BALE","ALS0047",68,3641,"94 %","62 %","68 %",5120,198,352,67
"MURET","MPY0104",31,7915,"91 %","61 %","64 %",8049,258,126,76
"NANCY CRISTALLERIE","LOR0039",54,3660,"94 %","65 %","68 %",4853,247,179,69
"NANCY GENTILLY","LOR0032",54,2964,"93 %","69 %","68 %",4311,329,99,76
"NANCY MAJORELLE","LOR0027",54,3055,"91 %","59 %","68 %",4129,214,190,69
"NANCY SAINT THIEBAUT","LOR0053",54,2532,"92 %","49 %","68 %",3211,279,121,70
"NANTERRE","IDF0179",92,5450,"94 %","60 %","58 %",6604,278,137,60
"NANTERRE CADRES","IDF0181",92,1851,"96 %","79 %","58 %",2263,"ND","ND","ND"
"NANTES CENTRE","PDL0091",44,5616,"86 %","52 %","59 %",5088,439,195,101
"NANTES CHANTENAY","PDL0076",44,4608,"92 %","68 %","59 %",4563,267,175,68
"NANTES HALUCHERE","PDL0100",44,5898,"86 %","61 %","59 %",5244,388,132,66
"NANTES MALAKOFF","PDL0092",44,4793,"94 %","54 %","59 %",4278,256,163,68
"NANTES NORD","PDL0082",44,5682,"89 %","56 %","59 %",4918,307,143,76
"NANTES SAINTE-LUCE","PDL0074",44,5644,"90 %","62 %","59 %",4247,217,153,68
"NARBONNE","LAN0088",11,8285,"93 %","70 %","72 %",10025,295,143,116
"NEMOURS","IDF0336",77,2760,"95 %","59 %","65 %",2785,246,137,61
"NEUFCHATEAU","LOR0016",88,2898,"95 %","72 %","76 %",3148,284,144,68
"NEUILLY-SUR-MARNE","IDF0263",93,3369,"95 %","70 %","69 %",3617,240,146,62
"NEUVILLE SUR SAONE","RHA0064",69,2154,"90 %","61 %","62 %",1893,140,112,82
"NEVERS","BRG0004",58,4279,"95 %","65 %","71 %",4539,395,140,68
"NICE CENTRE","PAC0175",6,7406,"92 %","66 %","66 %",8565,314,201,75
"NICE EST","PAC0174",6,5847,"94 %","67 %","66 %",6331,267,176,75
"NICE LA TRINITE","PAC0165",6,4023,"93 %","69 %","66 %",4118,298,118,68
"NICE NORD","PAC0172",6,5892,"94 %","67 %","66 %",6057,370,159,71
"NICE OUEST","PAC0177",6,10281,"96 %","70 %","66 %",10046,319,187,78
"NIMES 7 COLLINES","LAN0040",3048,6399,"92 %","65 %","66 %",8284,507,163,78
"NIMES COURBESSAC","LAN0027",3048,5629,"92 %","61 %","66 %",7893,451,200,75
"NIMES SAINT CESAIRE","LAN0041",3048,6024,"89 %","65 %","66 %",7625,484,169,99
"NIORT GARENNE","PCH0037",79,4504,"91 %","55 %","69 %",4300,386,186,68
"NIORT-TREVINS","PCH0031",79,3887,"90 %","68 %","69 %",3071,364,182,71
"NOEUX LES MINES","NPC0165",62,3258,"96 %","76 %","70 %",3633,271,157,73
"NOGENT LE ROTROU","CEN0087",28,1708,"96 %","71 %","60 %",1888,207,172,68
"NOGENT-SUR-MARNE","IDF0302",94,4423,"96 %","58 %","62 %",4355,234,184,69
"NOISY-LE-GRAND","IDF0242",93,3746,"96 %","54 %","69 %",3996,235,190,55
"NOISY-LE-SEC","IDF0257",93,2886,"94 %","61 %","69 %",3479,226,128,77
"NONTRON","AQU0063",24,1780,"93 %","50 %","66 %",1842,258,113,72
"NOYON","PIC0040",60,2905,"94 %","65 %","63 %",2956,455,236,76
"NYONS","RHA0197",726,1259,"92 %","ND","66 %",1544,736,190,75
"OLONNE SUR MER","PDL0019",85,4596,"95 %","62 %","68 %",4329,861,190,80
"OLORON STE MARIE","AQU0019",64,3542,"95 %","68 %","68 %",2600,496,118,71
"ORANGE","PAC0122",84,4630,"95 %","63 %","66 %",5267,316,236,72
"ORLEANS EST","CEN0061",45,5347,"93 %","67 %","63 %",4252,190,153,64
"ORLEANS NORD","CEN0065",45,6650,"96 %","54 %","63 %",6139,288,259,77
"ORLEANS OUEST","CEN0056",45,7946,"93 %","60 %","63 %",6489,279,172,73
"ORLEANS SUD","CEN0058",45,5367,"96 %","60 %","63 %",4964,285,195,73
"OULLINS","RHA0094",69,7322,"87 %","59 %","62 %",6375,260,126,108
"OYONNAX","RHA0222",1,4207,"92 %","71 %","59 %",3298,237,114,90
"PALAISEAU","IDF0142",91,4878,"92 %","60 %","62 %",4538,242,157,57
"PAMIERS","MPY0121",93265,2357,"94 %","65 %","75 %",2823,143,117,76
"PANTIN","IDF0258",93,5147,"93 %","56 %","69 %",6137,341,150,105
"PARENTIS","AQU0038",40,3944,"93 %","69 %","63 %",3620,326,149,57
"PARIS 10ÈME","IDF0030",75,6828,"90 %","60 %","64 %",6535,188,137,46
"PARIS 11ÈME BEAUMARCHAIS","IDF0018",75,10476,"91 %","70 %","64 %",9579,302,168,77
"PARIS 12ÈME DIDEROT","IDF0074",75,8355,"95 %","59 %","64 %",8098,188,128,60
"PARIS 15ÈME BRANCION","IDF0039",75,9446,"93 %","67 %","64 %",10185,171,122,66
"PARIS 16 ET 17ÈME CARDINET","IDF0041",75,12060,"94 %","65 %","64 %",13603,228,117,77
"PARIS 18ÈME GENEVOIX","IDF0059",75,4771,"96 %","63 %","64 %",4993,313,128,66
"PARIS 18ÈME NEY","IDF0055",75,10124,"94 %","57 %","64 %",9843,183,181,83
"PARIS 19ÈME ARMAND CARREL","IDF0033",75,9285,"95 %","59 %","64 %",10340,240,148,64
"PARIS 19ÈME LAUMIÈRE","IDF0032",75,4018,"95 %","69 %","64 %",4701,323,138,65
"PARIS 5 ET 13ÈME DAVIEL","IDF0067",75,10718,"96 %","63 %","64 %",11749,330,125,68
"PARIS 6 ET 14ÈME JEAN MOULIN","IDF0081",75,7645,"92 %","65 %","64 %",7978,310,107,70
"PARIS 7, 8, 9ÈME ST PETERSBOURG","IDF0050",75,6435,"93 %","70 %","64 %",6496,165,139,58
"PARIS BRANCION CADRES","IDF0423",75,1693,"96 %","79 %","64 %",2138,"ND","ND","ND"
"PARIS DIDEROT CADRES","IDF0421",75,3634,"94 %","67 %","64 %",4493,"ND","ND","ND"
"PARIS MAGENTA CADRES","IDF0027",75,1082,"94 %","68 %","64 %",1240,"ND","ND","ND"
"PARIS NEY CADRES","IDF0037",75,2193,"94 %","60 %","64 %",2604,"ND","ND","ND"
"PARIS PAUL LELONG","IDF0072",75,5374,"93 %","66 %","64 %",5340,270,127,78
"PARIS PIAT","IDF0021",75,9283,"91 %","58 %","64 %",9353,225,138,80
"PARIS VITRUVE","IDF0016",75,4413,"92 %","69 %","64 %",4471,241,126,68
"PARTHENAY","PCH0040",79,2218,"92 %","74 %","69 %",2061,310,194,69
"PAU JEAN ZAY","AQU0023",64,5330,"93 %","70 %","68 %",4970,362,147,68
"PAU LYAUTEY","AQU0016",64,2944,"95 %","61 %","68 %",3187,304,134,69
"PAUILLAC","AQU0115",33,4915,"92 %","72 %","65 %",5120,345,157,73
"PE MAMOUDZOU KAWENI","REU0003",976,2793,"ND","ND","ND",9565,283,266,91
"PERIGUEUX CHANGE","AQU0058",24,2768,"94 %","61 %","66 %",2620,236,123,85
"PERIGUEUX LITTRE","AQU0065",24,2813,"95 %","66 %","66 %",3270,223,151,65
"PERONNE-ALBERT","PIC0017",80,3550,"93 %","58 %","67 %",3727,553,324,101
"PERPIGNAN POLYGONE","LAN0004",66,6060,"91 %","62 %","65 %",8324,480,244,82
"PERPIGNAN SAINT ASSISCLE","LAN0016",66,8153,"92 %","63 %","65 %",10719,340,190,81
"PERPIGNAN SANT VICENS","LAN0008",66,8855,"93 %","64 %","65 %",10652,278,189,93
"PERSAN","IDF0119",95,3918,"92 %","67 %","62 %",3710,220,94,74
"PERTUIS","PAC0114",84,2934,"94 %","61 %","66 %",3126,315,215,74
"PESSAC","AQU0105",33,4598,"94 %","64 %","65 %",3838,357,157,73
"PEZENAS","LAN0061",34,2327,"93 %","77 %","67 %",2951,455,149,66
"PIERRELATTE","RHA0196",726,4252,"93 %","56 %","66 %",4606,262,337,59
"PITHIVIERS","CEN0059",45,3557,"93 %","55 %","63 %",3351,508,149,71
"PLAINE ORIENTALE","COR0019","2A2B",1432,"97 %","ND","77 %",1269,268,252,117
