Column 1,Column 2,Type,Column 3,Column 4
2015/560/260,video « Castle In The Snow de The Avener »,Vidéo / Droits de tirage,SERIAL RECORDS,14000
2015/1135/228,vidéo « Repenti » de Sinik,Vidéo / Droits de tirage,SIX-O-NINE,6324
2015/63/871,vidéo « Es-tu validé ? » de La Fouine,Vidéo / Droits de tirage,SONY MUSIC FRANCE,10000
2015/63/877,vidéo « La bicyclette » de Lambert Wilson,Vidéo / Droits de tirage,SONY MUSIC FRANCE,2000
2015/63/881,vidéo « Lights on  » de Griefjoy,Vidéo / Droits de tirage,SONY MUSIC FRANCE,5000
2015/63/879,vidéo « Pour être deux » de Rose,Vidéo / Droits de tirage,SONY MUSIC FRANCE,10000
2015/63/889,vidéo « Sacrifice » de TLF,Vidéo / Droits de tirage,SONY MUSIC FRANCE,10000
2015/1584/261,vidéo « Shooting Star » de Benjamin Braxton,Vidéo / Droits de tirage,SOUND4LABEL SARL,3463
2015/1/980,vidéo « Alien » de Rimk,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,14015
2015/1/235,vidéo « Allongés dans l'herbe » de Thomas Dutronc,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,17498
2015/1/353,vidéo « Backinbizness » de Joris Delacroix,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,7400
2015/1/358,vidéo « Bella Ciao » de Battista Acquaviva,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,6478
2015/1/542,vidéo « Bienvenue » d'Emmanuel Moire,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,14941
2015/1/129,vidéo « Bouteilles et Glock » de Dosseh & Kaaris,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,5037
2015/1/540,vidéo « Bus stop in the rain » de Simon LeSaint,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,13230
2015/1/137,vidéo « Chaos Moderne » de Max Edwards,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,4520
2015/1/355,vidéo « Cliché cosmique » de Mathieu Saikaly,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,4000
2015/1/257,"vidéo « Comme d'hab""de BigFlo & Oli",Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,4000
2015/1/541,vidéo « Cool » de Kendji,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,19142
2015/1/112,vidéo « Dans son sac » d'Alonzo,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,6000
