Column 1,Column 2,Type,Column 3,Column 4
2015/415,vidéo « Au loin la côte » de Bastien Lallemant,Vidéo,SEBASTIEN ZAMORA,5100
2015/334,vidéo « Wild Birds » de Valparaiso,Vidéo,SEBASTIEN ZAMORA,5000
2015/293,vidéo « Des étincelles » de Vincha,Vidéo,SEBASTIEN ZAMORA,5000
2015/146,vidéo « Dancing on the edge » Jenny Lysander,Vidéo,SEBASTIEN ZAMORA,2400
2015/162,vidéo « Un million d'années » de Bastien Lallemant,Vidéo,SEBASTIEN ZAMORA,3200
2015/49,vidéo « Les maladies de coeur » de Klô Pelgag,Vidéo,SEBASTIEN ZAMORA,4100
2015/849,vidéo « Inhumain » de Sinik,Vidéo,SIX-O-NINE,4200
2015/623,vidéo « Donde Cuando » de Lartiste,Vidéo,SIX-O-NINE,2900
2015/581,vidéo « Bang Bang » de Lartiste,Vidéo,SIX-O-NINE,5400
2015/524,vidéo « Faut pas me saouler » de Kayna Samet,Vidéo,SIX-O-NINE,4300
2015/432,vidéo « Assume » de Sinik,Vidéo,SIX-O-NINE,5400
2015/288,vidéo « Destination finale » de Lartiste,Vidéo,SIX-O-NINE,3000
2015/299,vidéo « Sirop de menthe » de Garner,Vidéo,SOCKET BLUES PRODUCTION,1600
2015/754,vidéo « So High » de Haute,Vidéo,SOL,2900
2015/708,vidéo « All in you » de Synapson,Vidéo,SOL,6400
2015/315,vidéo « Si tu pouvais vivre ta vie » de Dany Brillant,Vidéo,SOUL LATIN JAZZ PRODUCTION,4700
2015/571,vidéo « Plus Fort » de Kiddam,Vidéo,SOUND EFFECT KILLER KAYCI IMAGE,1200
2015/946,"vidéos « Le ciel ne peut attendre » 
et « A part toi » d'Aleyna",Vidéo,SPHERE FRANCE,4400
2015/410,vidéo « J'ai attrapé le chômage » de Stabar,Vidéo,STABAR,1300
2015/929,vidéo « Nou Pwen Yo » de Krys,Vidéo,STEP OUT PRODUCTIONS,2800
2015/919,vidéo « La i pann i sec » de Krys,Vidéo,STEP OUT PRODUCTIONS,4000
2015/841,vidéo « Gwo Chi   » de Krys,Vidéo,STEP OUT PRODUCTIONS,3458
2015/642,vidéo « Pa ni pwoblem » de Krys,Vidéo,STEP OUT PRODUCTIONS,1250
2015/511,vidéo « Ton Vice » de Kellingston,Vidéo,STEP OUT PRODUCTIONS,1500
2015/957,vidéo « Dangerous Man » de Rit,Vidéo,SUPER RECORDS,1700
2015/839,vidéo « Taali » de Sofiane Saïdi,Vidéo,SUPERSOUND,4100
2015/32,vidéo « Comment » de Sino,Vidéo,TAM TAM PRODUCTION,2400
2015/215,vidéo « Les Moutons » de Tedmo Festival,Vidéo,TEDMO FESTIVAL,1400
2015/62,vidéo « Je Comprends » de Radikal MC,Vidéo,TRIOMPHE RECORDS,1200
2015/50,vidéo « My Inspiration » de Myles Sanko,Vidéo,TROIS JEUNES TAMBOURS,3400
2015/52,vidéo « Dance all night » de Lou Demontis,Vidéo,TROUBADOUR,1200
2015/552,vidéo « C'est tout » des Trois Mousquetaires,Vidéo,TWIN MUSIC,4800
2015/840,vidéo « Oslo » de Blondino,Vidéo,UN PLAN SIMPLE,7350
2015/740,vidéo « Sunrise » de For The Hackers,Vidéo,UN PLAN SIMPLE,2300
2015/719,vidéo « La retenue » de Pain Noir,Vidéo,UN PLAN SIMPLE,5161
2015/636,vidéo « Higher » de Kwamie Liv,Vidéo,UN PLAN SIMPLE,4400
2015/487,vidéo « Summertime Burns » de Part-Time Friends,Vidéo,UN PLAN SIMPLE,2800
2015/493,vidéo « Marc et Louise » de Louves,Vidéo,UN PLAN SIMPLE,2500
2015/386,vidéo « Say My Name » de WWWY,Vidéo,UN PLAN SIMPLE,2700
2015/425,vidéo « Ladies » de WWWY,Vidéo,UN PLAN SIMPLE,8000
2015/423,vidéo « Quitte à me quitter » de Marvin Jouno,Vidéo,UN PLAN SIMPLE,5000
2015/184,vidéo « Poor Lonesome Piéton » de Cyril Mokaiesh,Vidéo,UN PLAN SIMPLE,1300
2015/88,vidéo « Babyshambles » de For The Hackers,Vidéo,UN PLAN SIMPLE,3000
2015/590,vidéo « C’est comme » de Izarry,Vidéo,UNIMUSIC,1200
2015/853,vidéo « En Abitibi » de Andréas & Nicolas,Vidéo,VERYCORDS,8239
2015/795,vidéo « Tears Of Hate » de Black Bomb A,Vidéo,VERYCORDS,9060
2015/793,vidéo « Hors norme » de The Arrs,Vidéo,VERYCORDS,3600
2015/525,vidéo « Born Twice » de Dagoba,Vidéo,VERYCORDS,3200
2015/417,vidéo « Chronos » de The Arrs,Vidéo,VERYCORDS,4800
2015/348,vidéo « Mars 78 » des Wampas,Vidéo,VERYCORDS,2600
2015/349,vidéo «  Winter's Masters » de Bukowski,Vidéo,VERYCORDS,5900
2015/263,vidéo « Une épée suspendue » de Pierpoljak,Vidéo,VERYCORDS,2600
2015/212,vidéo « Where do we go from here » de Fiction Plane,Vidéo,VERYCORDS,3300
2015/682,vidéo « La nuit tombe » de Mansfield. Tya,Vidéo,VICIOUS CIRCLE,4000
2015/486,vidéo « Foutue mélodie » de Black M,Vidéo,WATI B PROD,600
2015/165,vidéo « C'est Tout Moi » de Black M,Vidéo,WATI B PROD,4800
2015/667,vidéo « Coming Trough » de Watengwa,Vidéo,WEPRESENT,1000
2015/157,vidéo « Walk with me » de Tina Mweni,Vidéo,WEPRESENT,1200
2015/976,Les Victoires de la Musique édition 2016,Projets spéciaux,"ASSOCIATION LES VICTOIRES 
DE LA MUSIQUE",150000
2015/992,"actions de lute contre la piraterie musicale/
consultations",Projets spéciaux,AVOCATS,130000.19
2015/893,6ème édition du Disquaire Day,Projets spéciaux,CALIF,11500
2015/142,5ème édition du Disquaire Day,Projets spéciaux,CALIF,11500
2015/979,Fonds d'Urgence au Spectacle Vivant,Projets spéciaux,CNV,500000
2015/143,activités 2015,Projets spéciaux,FAIR,34000
2015/376,activités 2015,Projets spéciaux,FCM,1015644
2015/970,9ème édition du Festival au Fil des Voix,Projets spéciaux,FESTIVAL AU FIL DES VOIX,15000
2015/987,base de donnée numérisée,Projets spéciaux,DIVERS,18585
2015/988,surveillance et tracking,Projets spéciaux,DIVERS,180000
2015/691,MaMA 2015,Projets spéciaux,MAMA,15000
2015/989,amélioration et sécurisation de la plateforme CE1,Projets spéciaux,DIVERS,8722
2015/770,actions de défense et d'aide à la création 2015,Projets spéciaux,SNEP,995202
2015/990,rapport d'audit,Projets spéciaux,DIVERS,3250.35
2015/991,projet culture et internet,Projets spéciaux,DIVERS,153624
2015/144,activités 2015,Projets spéciaux,TOUS POUR LA MUSIQUE,25000
2015/141,activités 2015,Projets spéciaux,VOIX DU SUD,16000
2015/145,activités 2015,Projets spéciaux,ZONE FRANCHE,25000
2015/9/785,CD de Maria Iacob Macuica et Mihaï Trestian,Musique / Droits de tirage,ADF BAYARD MUSIQUE,5499
2015/9/476,CD d'Olivier Baumont,Musique / Droits de tirage,ADF BAYARD MUSIQUE,11500
2015/1293/115,CD de Women Groove,Musique / Droits de tirage,AZTEC MUSIQUE,15024
2015/842/973,CD de Sibylle Liévois,Musique / Droits de tirage,BLANC MUSIQUES,5198
2015/78/446,CD Flashback 80 (EP),Musique / Droits de tirage,CHRIS MUSIC,5684
2015/261/237,CD de Yves Ribis,Musique / Droits de tirage,COOP BREIZH DIFFUSION BREIZH,3555
2015/1949/637,CD Les Fusillés (B.O) - François Staal,Musique / Droits de tirage,CRISTAL PUBLISHING,3062
2015/208/940,CD de Jango Edwards,Musique / Droits de tirage,FGL,20161
2015/335/934,CD  « L'origine des espèces » - Eric Pierrot,Musique / Droits de tirage,GROUPE FREMEAUX COLOMBINI,2513
2015/335/544,CD « Guignol » - Daniel Mesguich,Musique / Droits de tirage,GROUPE FREMEAUX COLOMBINI,2855
2015/335/875,CD « Histoire de la Bible » - Olivier Millet,Musique / Droits de tirage,GROUPE FREMEAUX COLOMBINI,4290
2015/335/874,"CD « Histoire de la philosophie médiévale »
 - Vincent Giraud",Musique / Droits de tirage,GROUPE FREMEAUX COLOMBINI,1086
2015/335/872,CD « Histoire des Pharaons » - Jean Winand,Musique / Droits de tirage,GROUPE FREMEAUX COLOMBINI,1086
2015/335/445,CD « La Prisonnière et La Fugitive » -Daniel Mesguich,Musique / Droits de tirage,GROUPE FREMEAUX COLOMBINI,2454
2015/335/535,CD « Le temps retrouvé » - Daniel Mesguich,Musique / Droits de tirage,GROUPE FREMEAUX COLOMBINI,2428
2015/335/873,CD « Tyrannie de la pénitence » - Pascal Bruckner,Musique / Droits de tirage,GROUPE FREMEAUX COLOMBINI,1326
2015/2214/363,CD du Sirba Octet,Musique / Droits de tirage,LA PRIMA VOLTA,9137
2015/2561/784,CD « Anatole France » - Marc Hamon,Musique / Droits de tirage,LE LIVRE QUI PARLE - DPI,624
2015/2561/782,CD « Henri IV » - Yvan Verschueren,Musique / Droits de tirage,LE LIVRE QUI PARLE - DPI,312
2015/2561/783,CD « Les Pardaillan » - Yvan Verschueren,Musique / Droits de tirage,LE LIVRE QUI PARLE - DPI,728
2015/1579/239,CD de Christian Delagrange,Musique / Droits de tirage,LES EDITIONS GERARD TEMPESTI,8290
2015/371/245,CD « Sur la route des Enfoirés »,Musique / Droits de tirage,LES RESTAURANTS DU COEUR,127780
2015/262/601,CD de Lura,Musique / Droits de tirage,LUSAFRICA,4224
2015/625/262,CD de Vigon-Bamy-Jay,Musique / Droits de tirage,M6 INTERACTIONS,36284
2015/1590/969,CD de Naoufel,Musique / Droits de tirage,MICHEL LEVY PRODUCTIONS,8191
2015/2739/880,CD de Coolax,Musique / Droits de tirage,MUKONGO BUSINESS LTD,19512
2015/2180/109,CD de l'Orchestre de Savoie,Musique / Droits de tirage,MUSIC SQUARE / INDESENS,15649
2015/789/968,CD de Franck Dadure,Musique / Droits de tirage,RADIO FRANCE,11566
2015/789/937,CD de Jean-Philippe Collard Neven,Musique / Droits de tirage,RADIO FRANCE,12223
2015/789/726,CD de John Greaves,Musique / Droits de tirage,RADIO FRANCE,18692
2015/789/727,CD de Lunatic Toys,Musique / Droits de tirage,RADIO FRANCE,15987
2015/789/935,CD d'Hélène Collerette,Musique / Droits de tirage,RADIO FRANCE,7071
2015/36/974,CD de Sabine (EP),Musique / Droits de tirage,RICORDU,4463
2015/63/713,CD « Corsu »,Musique / Droits de tirage,SONY MUSIC FRANCE,52689
2015/63/695,CD de Aldebert,Musique / Droits de tirage,SONY MUSIC FRANCE,42021
2015/63/714,CD de Anwar,Musique / Droits de tirage,SONY MUSIC FRANCE,46584
2015/63/95,CD de Bangkok,Musique / Droits de tirage,SONY MUSIC FRANCE,42406
2015/63/694,CD de Cheraze,Musique / Droits de tirage,SONY MUSIC FRANCE,51997
2015/63/617,CD de Christian-Pierre La Marca,Musique / Droits de tirage,SONY MUSIC FRANCE,19318
2015/63/450,CD de Christophe Willem (live),Musique / Droits de tirage,SONY MUSIC FRANCE,28059
2015/63/449,CD de Florian,Musique / Droits de tirage,SONY MUSIC FRANCE,43992
2015/63/703,CD de Gaspard Royant,Musique / Droits de tirage,SONY MUSIC FRANCE,33283
2015/63/698,CD de Griefjoy,Musique / Droits de tirage,SONY MUSIC FRANCE,31294
2015/63/700,CD de Idir,Musique / Droits de tirage,SONY MUSIC FRANCE,40253
2015/63/448,CD de Jacques Higelin,Musique / Droits de tirage,SONY MUSIC FRANCE,80740
2015/63/619,CD de Jon Malkin,Musique / Droits de tirage,SONY MUSIC FRANCE,48993
2015/63/452,CD de La Fouine,Musique / Droits de tirage,SONY MUSIC FRANCE,62316
2015/63/613,CD de Lambert Wilson,Musique / Droits de tirage,SONY MUSIC FRANCE,33478
2015/63/443,CD de Lisa Angell,Musique / Droits de tirage,SONY MUSIC FRANCE,31376
2015/63/616,CD de Luke,Musique / Droits de tirage,SONY MUSIC FRANCE,29042
2015/63/696,CD de Martin et Les Fées,Musique / Droits de tirage,SONY MUSIC FRANCE,36125
2015/63/702,CD de Megan,Musique / Droits de tirage,SONY MUSIC FRANCE,52177
2015/63/603,CD de Natasha St Pier,Musique / Droits de tirage,SONY MUSIC FRANCE,41277
2015/63/706,CD de Owlle,Musique / Droits de tirage,SONY MUSIC FRANCE,52042
2015/63/451,CD de Paul Meyer et Pascal Contet,Musique / Droits de tirage,SONY MUSIC FRANCE,7166
2015/63/704,CD de Philippe Uminsky,Musique / Droits de tirage,SONY MUSIC FRANCE,43508
2015/63/345,CD de Rose,Musique / Droits de tirage,SONY MUSIC FRANCE,53676
2015/63/602,CD de Sanseverino,Musique / Droits de tirage,SONY MUSIC FRANCE,16297
2015/63/739,CD de Sylvie Vartan,Musique / Droits de tirage,SONY MUSIC FRANCE,41447
2015/63/444,CD de Thibault Cauvin,Musique / Droits de tirage,SONY MUSIC FRANCE,4846
2015/63/699,CD de We Are Match (EP),Musique / Droits de tirage,SONY MUSIC FRANCE,11010
2015/63/860,CD de Yuri Buenaventura,Musique / Droits de tirage,SONY MUSIC FRANCE,24220
2015/63/238,CD de Zayra,Musique / Droits de tirage,SONY MUSIC FRANCE,42505
2015/63/97,CD « Des airs de liberté » - hommage à Jean Ferrat,Musique / Droits de tirage,SONY MUSIC FRANCE,43898
2015/63/140,CD des Innocents,Musique / Droits de tirage,SONY MUSIC FRANCE,82732
2015/63/701,CD d'Indochine (Live),Musique / Droits de tirage,SONY MUSIC FRANCE,52177
2015/63/98,CD hommage à Pierre Bachelet,Musique / Droits de tirage,SONY MUSIC FRANCE,44408
2015/63/876,CD « Joe Dassin et les Choeurs de l'Armée Rouge »,Musique / Droits de tirage,SONY MUSIC FRANCE,40000
2015/63/96,CD « Joyeux anniversaire Mister Dutronc »,Musique / Droits de tirage,SONY MUSIC FRANCE,53640
2015/63/227,CD « Michel Legrand & Ses Amis »,Musique / Droits de tirage,SONY MUSIC FRANCE,50284
2015/1/537,"CD Biolay, Fizsman, Benarrosh - Trenet",Musique / Droits de tirage,UNIVERSAL MUSIC FRANCE,32474
2015/1/621,CD d'Alex Beaupain,Musique / Droits de tirage,UNIVERSAL MUSIC FRANCE,20293
2015/1/620,CD d'Anne Sila,Musique / Droits de tirage,UNIVERSAL MUSIC FRANCE,55588
2015/1/367,CD d'Arielle Dombasle,Musique / Droits de tirage,UNIVERSAL MUSIC FRANCE,34840
2015/1/106,CD de Aufgang,Musique / Droits de tirage,UNIVERSAL MUSIC FRANCE,46767
2015/1/373,CD de Battista Acquaviva,Musique / Droits de tirage,UNIVERSAL MUSIC FRANCE,52494
2015/1/604,CD de Cécile Corbel,Musique / Droits de tirage,UNIVERSAL MUSIC FRANCE,33410
2015/1/118,CD de Charles Aznavour,Musique / Droits de tirage,UNIVERSAL MUSIC FRANCE,166470
2015/1/459,CD de Chimène Badi,Musique / Droits de tirage,UNIVERSAL MUSIC FRANCE,184912
2015/1/977,CD de Christian Olivier,Musique / Droits de tirage,UNIVERSAL MUSIC FRANCE,39715
2015/1/635,CD de Christophe,Musique / Droits de tirage,UNIVERSAL MUSIC FRANCE,101028
2015/1/455,CD de DJ Hamida,Musique / Droits de tirage,UNIVERSAL MUSIC FRANCE,25901
2015/1/226,CD de Dosseh,Musique / Droits de tirage,UNIVERSAL MUSIC FRANCE,27158
2015/1/462,CD de Emji,Musique / Droits de tirage,UNIVERSAL MUSIC FRANCE,56160
2015/1/600,CD de Feu ! Chatterton,Musique / Droits de tirage,UNIVERSAL MUSIC FRANCE,25142
2015/1/108,CD de Gradur,Musique / Droits de tirage,UNIVERSAL MUSIC FRANCE,36368
2015/1/104,CD de Izia,Musique / Droits de tirage,UNIVERSAL MUSIC FRANCE,39977
2015/1/242,CD de Jean-Baptiste Maunier,Musique / Droits de tirage,UNIVERSAL MUSIC FRANCE,43919
2015/1/464,CD de Joris Delacroix,Musique / Droits de tirage,UNIVERSAL MUSIC FRANCE,32626
2015/1/247,CD de Julie Fuchs,Musique / Droits de tirage,UNIVERSAL MUSIC FRANCE,36799
2015/1/461,CD de Kambuza,Musique / Droits de tirage,UNIVERSAL MUSIC FRANCE,38996
