ID,Nom,Année de naissance,Age,Ecole,ENA,Poste origine,Origine privé ou public,Sexe,Poste,Présidence (O/N),Date entrée,Recrutement interne,Date sortie,Mobilité interne,Poste sortie,Sortie public ou privé,Date de sortie poste de sortie,Durée,Lien
25,Constance Rivière,03/07/1980,36,ENA (Aristide Briand),1,Maître des requêtes au Conseil d'Etat,Public,Femme,"Conseillère institutions, société, libertés publiques",1,17/05/2012,,05/01/2015,1,Directrice de cabinet adjointe de la présidence de la République,Public,,963,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025895150,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030026861,http://www.acteurspublics.com/biographies/detail/140362"
26,Sophie Brocas,1961,55,ENA (Nelson Mandela),1,"Conseillère pour les affaires intérieures, la réforme de l’État, la fonction publique et l'éducation au cabinet du président du Sénat, Jean-Pierre Bel",Public,Femme,Conseillère administration et service public,1,17/05/2012,,25/08/2014,,"Préfète, secrétaire générale de la préfecture de la région d'Ile-de-France",Public,,830,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025895150,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000029322082,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000029323007"
27,Gilles Clavreul,inconnue,inconnu,ENA (Averroès),1,Sous-directeur du corps préfectoral et des administrateurs civils à la direction de la modernisation et de l'action territoriale,Public,Homme,Conseiller affaires territoriales,1,17/05/2012,,15/12/2014,,Délégué interministériel à la lutte contre le racisme et l'antisémitisme,Public,,942,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025895150,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000029893535,https://fr.linkedin.com/in/gilles-clavreul-96062b6"
28,Bernard Rullier,13/11/1963,53,IEP Paris,0,,,Homme,Conseiller relations avec le Parlement,1,17/05/2012,,,,,,,1488,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025895150
29,Claudine Ripert-Landler,16/09/1957,59,IEP Paris,0,,,Femme,"Conseillère communication, stratégie, international",1,17/05/2012,,,,,,,1488,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025895150
30,Christian Gravel,09/08/1973,43,DEA de sciences politiques,0,"Directeur de cabinet du député-maire d'Evry, Manuel Valls",Public,Homme,"Conseiller communication, presse",1,17/05/2012,,30/04/2014,,Directeur du Service d'information du gouvernement,Public,,713,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025895150,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000028886118,https://fr.linkedin.com/in/christian-gravel-0a2b45a5,http://www.acteurspublics.com/biographies/detail/80406"
31,Paul Bernard,1978,38,Normal Sup,0,"Conseiller du maire de Paris, Bertrand Delanoë",Public,Homme,"Conseiller chargé des interventions et études, sous l'autorité du conseiller politique M Aquilino Morelle",1,17/05/2012,,01/02/2014,,Maître des requêtes au Conseil d'Etat,Public,,625,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025895150,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000028543296,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000028543691,http://www.acteurspublics.com/2014/02/03/promotion-pour-le-conseiller-de-l-elysee-paul-bernard"
32,Eric Bucquet,inconnue,inconnu,Saint-Cyr,0,,,Homme,Etat-major particuler,1,17/05/2012,,,,,,,1488,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025895153
33,Jean-Claude Piccirillo,inconnue,inconnu,Inconnue,0,Armée,null,Homme,Etat-major particuler,1,17/05/2012,,02/09/2013,,Armée,null,,473,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025895153,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000027755109"
34,Bernard-Antoine Morio de l'Isle,20/06/1963,53,Ecole navale,0,Armée,null,Homme,Etat-major particuler,1,17/05/2012,,08/08/2014,,Armée,null,,813,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025895153,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000029213342&categorieLien=id"
